!From MultiFun site 2003-09-29
!typos etc in MultiFun corrected
!Created by Michael Ashburner & Jane Lomax September 29 2003, updated by Jane Lomax December 19 2005
!version 1.3
!
MultiFun:1 Metabolism > GO:metabolism ; GO:0008152
MultiFun:1.1 Carbon compound utilization > GO:.
MultiFun:1.1.1 Carbohydrates/Carbon compounds > GO:carbohydrate catabolism ; GO:0016052
MultiFun:1.1.1.1 D-allose catabolism > GO:D-allose catabolism ; GO:0019316
MultiFun:1.1.1.2 2,5-ketogluconate metabolism > GO:ketogluconate metabolism ; GO:0019522
MultiFun:1.1.1.3 D-arabinose catabolism > GO:D-arabinose catabolism ; GO:0019571
MultiFun:1.1.1.4 D-galactarate catabolism > GO:D-galactarate catabolism ; GO:0019582
MultiFun:1.1.1.5 D-galacturonate catabolism > GO:D-galacturonate catabolism ; GO:0019698
MultiFun:1.1.1.6 D-glucarate catabolism > GO:D-glucarate catabolism ; GO:0042838
MultiFun:1.1.1.7 D-glucuronate catabolism > GO:D-glucuronate catabolism ; GO:0042840
MultiFun:1.1.1.8 L-arabinose catabolism > GO:L-arabinose catabolism ; GO:0019572
MultiFun:1.1.1.9 L-idonate catabolism > GO:L-idonate catabolism ; GO:0046183
MultiFun:1.1.1.10 L-lyxose metabolism > GO:L-lyxose metabolism ; GO:0019324
MultiFun:1.1.1.11 Fucose catabolism > GO:fucose catabolism ; GO:0019317
MultiFun:1.1.1.12 Galactitol catabolism > GO:galactitol catabolism ; GO:0019404
MultiFun:1.1.1.13 Galactonate catabolism > GO:galactonate catabolism ; GO:0019584
MultiFun:1.1.1.14 Lactose degradation > GO:lactose catabolism ; GO:0005990
MultiFun:1.1.1.15 Mannose catabolism > GO:mannose catabolism ; GO:0019309
MultiFun:1.1.1.16 Rhamnose catabolism > GO:rhamnose catabolism ; GO:0019301
MultiFun:1.1.1.17 Sorbitol degradation > GO:sorbitol catabolism ; GO:0006062
MultiFun:1.1.1.18 Trehalose degradation, low osmolarity > GO:trehalose catabolism ; GO:0005993
MultiFun:1.1.1.19 Xylose catabolism > GO:D-xylose catabolism ; GO:0042843
MultiFun:1.1.1.20 Glycol degradation > GO:glycol catabolism ; GO:0042846
MultiFun:1.1.1.21 Mannitol degradation > GO:mannitol catabolism ; GO:0019592
MultiFun:1.1.1.22 Ribose degradation > GO:D-ribose catabolism ; GO:0019303
MultiFun:1.1.1.23 Galactose degradation > GO:galactose catabolism ; GO:0019388
MultiFun:1.1.1.24 Sorbose degradation > GO:sorbose catabolism ; GO:0042848
MultiFun:1.1.1.25 L-ascorbate degradation > GO:L-ascorbic acid catabolism ; GO:0019854
MultiFun:1.1.2 Fatty acids (fatty acid oxidation) > GO:fatty acid oxidation ; GO:0019395
MultiFun:1.1.2.1 Degradation of short-chain fatty acids > GO:short-chain fatty acid catabolism ; GO:0019626
MultiFun:1.1.2.2 3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation > GO:3-phenylpropionate catabolism ; GO:0019380
MultiFun:1.1.2.2 3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation > GO:3-(3-hydroxy)phenylpropionate catabolism ; GO:0019622
MultiFun:1.1.2.3 Propionate degradation > GO:propionate catabolism ; GO:0019543
MultiFun:1.1.3 Amino acids > GO:amino acid catabolism ; GO:0009063
MultiFun:1.1.3.1 L-alanine degradation > GO:alanine catabolism ; GO:0006524
MultiFun:1.1.3.2 L-serine degradation > GO:L-serine catabolism ; GO:0006565
MultiFun:1.1.3.3 Arginine catabolism > GO:arginine catabolism ; GO:0006527
MultiFun:1.1.3.4 Glutamate degradation > GO:glutamate catabolism ; GO:0006538
MultiFun:1.1.3.5 Glycine cleavage > GO:glycine decarboxylation via glycine cleavage system ; GO:0019464
MultiFun:1.1.3.6 Proline utilization > GO:proline catabolism ; GO:0006562
MultiFun:1.1.3.7 Threonine catabolism > GO:threonine catabolism ; GO:0006567
MultiFun:1.1.3.8 Tryptophan utilization > GO:tryptophan catabolism ; GO:0006569
MultiFun:1.1.3.9 L-cysteine catabolism > GO:L-cysteine catabolism ; GO:0019448
MultiFun:1.1.3.10 Lysine cleavage > GO:lysine catabolism ; GO:0006554
MultiFun:1.1.3.11 Histidine degradation > GO:histidine catabolism ; GO:0006548
MultiFun:1.1.3.12 Leucine degradation > GO:leucine catabolism ; GO:0006552
MultiFun:1.1.3.13 Methionine degradation > GO:methionine catabolism ; GO:0009087
MultiFun:1.1.3.14 Valine degradation > GO:valine catabolism ; GO:0006574
MultiFun:1.1.3.15 Phenylalanine, tyrosine degradation > GO:L-phenylalanine catabolism ; GO:0006559
MultiFun:1.1.3.15 Phenylalanine, tyrosine degradation > GO:tyrosine catabolism ; GO:0006572
MultiFun:1.1.4 Amines > GO:amine catabolism ; GO:0009310
MultiFun:1.1.4.1 Phenylethylamine degradation > GO:phenylethylamine catabolism ; GO:0019607
MultiFun:1.1.4.2 Carnitine degradation > GO:carnitine catabolism ; GO:0042413
MultiFun:1.1.4.3 Ornithine degradation > GO:ornithine catabolism ; GO:0006593
MultiFun:1.1.5 Others > GO:.
MultiFun:1.1.5.1 Phenyl acetic acid degradation > GO:phenylacetate catabolism ; GO:0010124
MultiFun:1.1.5.2 Ethanol degradation > GO:ethanol catabolism ; GO:0006068
MultiFun:1.1.5.3 Eugenol catabolism > GO:eugenol catabolism ; GO:0042856
MultiFun:1.1.5.4 Beta-ketoadipate pathway > GO:beta-ketoadipate pathway ; GO:0042952
MultiFun:1.1.5.5 Mandelate catabolism > GO:mandelate catabolism ; GO:0019596
MultiFun:1.2 Macromolecule degradation > GO:macromolecule catabolism ; GO:0009057
MultiFun:1.2.1 RNA > GO:RNA catabolism ; GO:0006401
MultiFun:1.2.2 DNA > GO:DNA catabolism ; GO:0006308
MultiFun:1.2.3 Proteins/peptides/glycopeptides > GO:proteolysis ; GO:0006508
MultiFun:1.2.3 Proteins/peptides/glycopeptides > GO:glycopeptide catabolism ; GO:0009050
MultiFun:1.2.4 Polysaccharides > GO:polysaccharide catabolism ; GO:0000272
MultiFun:1.2.4.1 Glycogen catabolism > GO:glycogen catabolism ; GO:0005980
MultiFun:1.2.4.2 Chitin catabolism > GO:chitin catabolism ; GO:0006032
MultiFun:1.3 Energy metabolism (carbon) > GO:energy derivation by oxidation of organic compounds ; GO:0015980
MultiFun:1.3.1 Glycolysis > GO:glycolysis ; GO:0006096
MultiFun:1.3.2 Pentose phosphate shunt, oxidative branch > GO:pentose-phosphate shunt, oxidative branch ; GO:0009051
MultiFun:1.3.3 Pyruvate dehydrogenase > GO:acetyl-CoA biosynthesis from pyruvate ; GO:0006086
MultiFun:1.3.4 Tricarboxylic acid cycle > GO:tricarboxylic acid cycle ; GO:0006099
MultiFun:1.3.5 Fermentation > GO:fermentation ; GO:0006113
MultiFun:1.3.6 Aerobic respiration > GO:aerobic respiration ; GO:0009060
MultiFun:1.3.7 Anaerobic respiration > GO:anaerobic respiration ; GO:0009061
MultiFun:1.3.8 ATP proton motive force interconversion > GO:ATP synthesis coupled proton transport ; GO:0015986
MultiFun:1.3.9 Entner-Doudoroff pathway > GO:Entner-Doudoroff pathway ; GO:0009255
MultiFun:1.4 Energy production/transport > GO:.
MultiFun:1.4.1 Electron donor > GO:electron donor activity ; GO:0009053
MultiFun:1.4.2 Electron acceptor > GO:electron acceptor activity ; GO:0009054
MultiFun:1.4.3 Electron carrier > GO:electron carrier activity ; GO:0009055
MultiFun:1.5 Building block biosynthesis > GO:.
MultiFun:1.5.1 Amino acids > GO:amino acid biosynthesis ; GO:0008652
MultiFun:1.5.1.1 Glutamate > GO:glutamate biosynthesis ; GO:0006537
MultiFun:1.5.1.2 Glutamine > GO:glutamine biosynthesis ; GO:0006542
MultiFun:1.5.1.3 Arginine > GO:arginine biosynthesis ; GO:0006526
MultiFun:1.5.1.4 Proline > GO:proline biosynthesis ; GO:0006561
MultiFun:1.5.1.5 Aspartate > GO:aspartate biosynthesis ; GO:0006532
MultiFun:1.5.1.6 Asparagine > GO:asparagine biosynthesis ; GO:0006529
MultiFun:1.5.1.7 Lysine, diaminopimelate > GO:lysine biosynthesis via diaminopimelate ; GO:0009089
MultiFun:1.5.1.8 Threonine > GO:threonine biosynthesis ; GO:0009088
MultiFun:1.5.1.9 Methionine > GO:methionine biosynthesis ; GO:0009086
MultiFun:1.5.1.10 Glycine > GO:glycine biosynthesis ; GO:0006545
MultiFun:1.5.1.11 Serine > GO:L-serine biosynthesis ; GO:0006564
MultiFun:1.5.1.12 Cysteine > GO:cysteine biosynthesis ; GO:0019344
MultiFun:1.5.1.13 Phenylalanine > GO:L-phenylalanine biosynthesis ; GO:0009094
MultiFun:1.5.1.14 Tyrosine > GO:tyrosine biosynthesis ; GO:0006571
MultiFun:1.5.1.15 Tryptophan > GO:tryptophan biosynthesis ; GO:0000162
MultiFun:1.5.1.16 Histidine > GO:histidine biosynthesis ; GO:0000105
MultiFun:1.5.1.17 Alanine > GO:alanine biosynthesis ; GO:0006523
MultiFun:1.5.1.18 Isoleucine/valine > GO:isoleucine biosynthesis ; GO:0009097
MultiFun:1.5.1.18 Isoleucine/valine > GO:valine biosynthesis ; GO:0009099
MultiFun:1.5.1.19 Leucine > GO:leucine biosynthesis ; GO:0009098
MultiFun:1.5.1.20 Chorismate > GO:chorismate biosynthesis ; GO:0009423
MultiFun:1.5.1.21 Homoserine > GO:homoserine biosynthesis ; GO:0009090
MultiFun:1.5.2 Nucleotide > GO:nucleotide biosynthesis ; GO:0009165
MultiFun:1.5.2.1 Purine biosynthesis > GO:purine nucleotide biosynthesis ; GO:0006164
MultiFun:1.5.2.2 Pyrimidine biosynthesis > GO:pyrimidine nucleotide biosynthesis ; GO:0006221
MultiFun:1.5.2.3 Purine ribonucleotide biosynthesis > GO:purine ribonucleotide biosynthesis ; GO:0009152
MultiFun:1.5.2.4 Pyrimidine ribonucleotide/ribonucleoside biosynthesis > GO:pyrimidine ribonucleotide biosynthesis ; GO:0009220
MultiFun:1.5.2.4 Pyrimidine ribonucleotide/ribonucleoside biosynthesis > GO:ribonucleoside biosynthesis ; GO:0042455
MultiFun:1.5.3 Cofactor, small molecule carrier > GO:coenzyme biosynthesis ; GO:0009108
MultiFun:1.5.3 Cofactor, small molecule carrier > GO:prosthetic group biosynthesis ; GO:0051191
MultiFun:1.5.3.1 Biotin > GO:biotin biosynthesis ; GO:0009102
MultiFun:1.5.3.2 Folic acid > GO:folic acid biosynthesis ; GO:0046656
MultiFun:1.5.3.3 Lipoate > GO:lipoate biosynthesis ; GO:0009107
MultiFun:1.5.3.4 Molybdenum (molybdopterin) > GO:Mo-molybdopterin cofactor biosynthesis ; GO:0006777
MultiFun:1.5.3.5 Coenzyme A > GO:coenzyme A biosynthesis ; GO:0015937
MultiFun:1.5.3.6 Pyridoxine (vitamin B6) > GO:pyridoxine biosynthesis ; GO:0008615
MultiFun:1.5.3.7 Nicotinamide adenine dinucleotide (NAD) > GO:NAD biosynthesis ; GO:0009435
MultiFun:1.5.3.8 Thiamine (Vitamin B1) > GO:thiamin biosynthesis ; GO:0009228
MultiFun:1.5.3.9 Riboflavin (Vitamin B2), FAD, FMN > GO:riboflavin biosynthesis ; GO:0009231
MultiFun:1.5.3.9 Riboflavin (Vitamin B2), FAD, FMN > GO:FAD biosynthesis ; GO:0006747
MultiFun:1.5.3.9 Riboflavin (Vitamin B2), FAD, FMN > GO:FMN biosynthesis ; GO:0009398
MultiFun:1.5.3.10 Glutathione > GO:glutathione biosynthesis ; GO:0006750
MultiFun:1.5.3.11 Menaquinone (MK), ubiquinone (Q) > GO:menaquinone biosynthesis ; GO:0009234
MultiFun:1.5.3.11 Menaquinone (MK), ubiquinone (Q) > GO:ubiquinone biosynthesis ; GO:0006744
MultiFun:1.5.3.12 Heme, porphyrine > GO:heme biosynthesis ; GO:0006783
MultiFun:1.5.3.12 Heme, porphyrine > GO:porphyrin biosynthesis ; GO:0006779
MultiFun:1.5.3.13 Cobalamin (Vitamin B12) > GO:cobalamin biosynthesis ; GO:0009236
MultiFun:1.5.3.14 Enterochelin (enterobactin) > GO:enterobactin biosynthesis ; GO:0009239
MultiFun:1.5.3.15 Chrysobactin > GO:chrysobactin biosynthesis ; GO:0042858
MultiFun:1.5.3.16 Achromobactin > GO:achromobactin biosynthesis ; GO:0042861
MultiFun:1.5.3.19 Isoprenoid biosynthesis > GO:isoprenoid biosynthesis ; GO:0008299
MultiFun:1.5.3.20 Tetrahydrobiopterin biosynthesis > GO:tetrahydrobiopterin biosynthesis ; GO:0006729
MultiFun:1.5.3.21 Pyochelin biosynthesis > GO:pyochelin biosynthesis ; GO:0042864
MultiFun:1.5.4 Fatty acid and phosphatidic acid > GO:fatty acid biosynthesis ; GO:0006633 ; GO:phosphatidic acid biosynthesis ; GO:0006654
MultiFun:1.6 Macromolecules (cellular constituent)  biosynthesis > GO:macromolecule biosynthesis ; GO:0009059
MultiFun:1.6.1 Phospholipid > GO:phospholipid biosynthesis ; GO:0008654
MultiFun:1.6.2 Colanic acid (M antigen) > GO:colanic acid biosynthesis ; GO:0009242
MultiFun:1.6.3 Lipopolysaccharide > GO:lipopolysaccharide biosynthesis ; GO:0009103
MultiFun:1.6.3.1 O antigen > GO:O antigen biosynthesis ; GO:0009243
MultiFun:1.6.3.2 Core region > GO:lipopolysaccharide core region biosynthesis ; GO:0009244
MultiFun:1.6.3.3 Lipid A > GO:lipid A biosynthesis ; GO:0009245
MultiFun:1.6.4 Enterobacterial common antigen  (surface glycolipid) > GO:enterobacterial common antigen biosynthesis ; GO:0009246
MultiFun:1.6.5 K antigen > GO:K antigen biosynthesis ; GO:0009248
MultiFun:1.6.6 Osmoregulated periplasmic glucan > GO:glucan biosynthesis ; GO:0009250
